No,data
1,"['sosis', 'teh']"
2,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'jagung', 'kacang', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'bubble tea', 'susu', 'jus buah']"
3,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'roti bakar/kukus', 'soda/soft drink', 'susu']"
4,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'tahu', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
5,"['nasi goreng', 'ayam bakar/goreng/fried chicken', 'gorengan lain', 'teh', 'jus buah']"
6,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'cendol', 'teh', 'soda/soft drink', 'susu']"
7,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'takoyaki', 'cendol', 'es campur', 'es doger']"
8,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'ayam bakar/goreng/fried chicken', 'sate', 'gorengan lain', 'teh', 'kopi', 'susu', 'wedang', 'wedang']"
9,"['nasi goreng', 'bakso/batagor/siomay', 'sate', 'gorengan lain', 'martabak', 'es doger', 'susu']"
10,"['nasi goreng', 'mie-miean', 'bubur', 'jus buah']"
11,"['nasi goreng', 'ayam bakar/goreng/fried chicken', 'sate', 'teh']"
12,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'kacang', 'tahu', 'sate', 'gorengan lain', 'es campur', 'es doger', 'teh', 'kopi', 'susu', 'jus buah']"
13,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'kue-kue', 'roti bakar/kukus', 'sate', 'teh', 'susu']"
14,"['nasi goreng', 'bakso/batagor/siomay', 'roti bakar/kukus', 'sate', 'teh']"
15,"['nasi goreng', 'bubur', 'es krim', 'sate', 'teh', 'susu']"
16,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'gorengan lain', 'aci', 'aci', 'aci', 'aci', 'bubble tea']"
17,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'sate', 'gorengan lain', 'teh']"
18,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'es krim', 'sate', 'gorengan lain', 'lotek', 'es doger', 'jus buah']"
19,"['nasi goreng', 'mie-miean', 'sate', 'gorengan lain', 'cendol']"
20,"['mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'sate', 'jus buah']"
21,"['mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'es krim', 'sate', 'bubble tea', 'soda/soft drink', 'jus buah']"
22,"['bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'tahu', 'sate', 'jus buah']"
23,"['nasi goreng', 'mie kuah', 'mie-miean', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
24,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'sate', 'gorengan lain', 'es doger', 'teh', 'kopi', 'bubble tea', 'susu', 'jus buah']"
25,"['mie-miean', 'bakso/batagor/siomay', 'kue-kue', 'es krim', 'gorengan lain', 'bubble tea', 'soda/soft drink', 'jus buah', 'soda/soft drink']"
26,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
27,"['bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'es campur', 'susu', 'jus buah']"
28,"['mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'tahu', 'sate', 'gorengan lain', 'teh', 'susu']"
29,"['nasi goreng', 'kue-kue', 'roti bakar/kukus', 'es campur', 'susu', 'jus buah']"
30,"['nasi goreng', 'bakso/batagor/siomay', 'kue-kue', 'es krim', 'macaroni', 'lumpia basah', 'seblak', 'teh', 'soda/soft drink', 'jus buah']"
31,"['nasi-nasian', 'mie-miean', 'bubur', 'ayam bakar/goreng/fried chicken', 'teh', 'susu']"
32,"['bakso/batagor/siomay', 'buah potong/rujak', 'gorengan lain', 'soda/soft drink', 'jus buah']"
33,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'sate', 'gorengan lain', 'cendol', 'teh', 'jus buah']"
34,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'ubi', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'susu', 'jus buah']"
35,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'es krim', 'jagung', 'sate', 'gorengan lain', 'cendol', 'kopi', 'bubble tea', 'susu', 'jus buah']"
36,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'ubi', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'jus buah']"
37,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'tahu', 'sate', 'gorengan lain', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
38,"['mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'jagung', 'kacang', 'sate', 'cendol', 'es campur', 'jus buah']"
39,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'sate', 'gorengan lain', 'cendol', 'jus buah']"
40,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'teh']"
41,"['mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'gorengan lain', 'cendol', 'teh', 'susu', 'soda/soft drink']"
42,"['mie-miean', 'bakso/batagor/siomay', 'buah potong/rujak', 'teh', 'kopi']"
43,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'es krim', 'sate', 'gorengan lain', 'cendol', 'es doger', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
44,"['nasi goreng', 'nasi-nasian', 'bakso/batagor/siomay', 'sate', 'cendol', 'es campur', 'bubble tea', 'susu', 'jus buah']"
45,"['nasi goreng', 'mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'cendol', 'es campur', 'es doger', 'jus buah']"
46,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'jus buah']"
47,"['nasi goreng', 'bakso/batagor/siomay', 'gorengan lain', 'teh', 'kopi']"
48,"['nasi goreng', 'mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'es krim', 'gorengan lain', 'es campur', 'teh', 'kopi', 'soda/soft drink', 'susu', 'jus buah']"
49,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'sate', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'soda/soft drink', 'susu', 'jus buah']"
50,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'sate', 'minuman air']"
51,"['angkringan', 'jus buah']"
52,"['mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'es krim', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'bubble tea', 'susu', 'jus buah']"
53,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'cendol', 'teh']"
54,"['nasi goreng', 'es doger']"
55,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'sate', 'seblak', 'es campur', 'es doger', 'teh', 'susu', 'jus buah']"
56,"['mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'es krim', 'sate', 'gorengan lain', 'cendol', 'es campur', 'teh', 'kopi', 'bubble tea', 'susu', 'jus buah']"
57,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'sate', 'es campur', 'teh', 'susu', 'jus buah']"
58,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'es krim', 'sate', 'sosis', 'susu', 'jus buah']"
59,"['nasi goreng', 'ayam bakar/goreng/fried chicken', 'gorengan lain', 'sate', 'es doger', 'jus buah', 'susu']"
60,[]
61,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh']"
62,"['nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'gorengan lain', 'cendol', 'es doger']"
63,"['nasi goreng', 'mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'tahu', 'sate', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'bubble tea', 'susu', 'jus buah']"
64,"['nasi goreng', 'bakso/batagor/siomay', 'roti bakar/kukus', 'tahu', 'es doger']"
65,"['nasi goreng', 'mie kuah', 'dimsum', 'cendol', 'es campur', 'teh']"
66,"['mie kuah', 'mie-miean', 'bubur', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'es krim', 'ubi', 'sate', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
67,"['mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'bubble tea', 'jus buah']"
68,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'es campur', 'es doger']"
69,"['nasi goreng', 'bubur', 'ayam bakar/goreng/fried chicken', 'tahu', 'teh']"
70,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'es krim', 'sate', 'kebab', 'burger', 'es campur', 'teh', 'kopi', 'bubble tea', 'susu']"
71,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'sate', 'gorengan lain', 'cendol', 'es campur', 'teh', 'kopi', 'soda/soft drink', 'jus buah']"
72,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
73,"['nasi goreng', 'es campur']"
74,"['mie kuah', 'bakso/batagor/siomay', 'sate', 'teh']"
75,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'roti bakar/kukus', 'sate', 'cendol', 'es campur', 'jus buah', 'kopi']"
76,"['nasi goreng', 'mie-miean', 'ayam bakar/goreng/fried chicken', 'sate', 'cendol', 'susu']"
77,"['nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'sate', 'gorengan lain', 'cendol', 'es campur', 'jus buah']"
78,"['bakso/batagor/siomay', 'kue-kue', 'gorengan lain', 'es campur', 'bubble tea', 'jus buah']"
79,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'roti bakar/kukus', 'es krim', 'tahu', 'sate', 'gorengan lain', 'teh', 'soda/soft drink']"
80,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'sate', 'gorengan lain', 'cendol', 'es campur', 'teh']"
81,"['nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'kue-kue', 'jagung', 'tahu', 'sate', 'gorengan lain', 'es campur', 'kopi', 'jus buah']"
82,"['nasi goreng', 'mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'sate', 'gorengan lain', 'jus buah']"
83,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'es krim', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'bubble tea', 'susu', 'jus buah']"
84,"['mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'gorengan lain', 'teh', 'kopi', 'soda/soft drink']"
85,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'es campur', 'kopi']"
86,"['nasi goreng', 'bakso/batagor/siomay', 'kue-kue', 'tahu', 'gorengan lain', 'bubble tea', 'susu', 'jus buah']"
87,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'gorengan lain', 'teh', 'susu', 'jus buah']"
88,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'gorengan lain', 'cendol', 'kopi', 'soda/soft drink']"
89,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'gorengan lain', 'bubble tea', 'susu', 'jus buah']"
90,"['nasi goreng', 'mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'es krim', 'jagung', 'tahu', 'gorengan lain', 'es doger', 'kopi', 'bubble tea', 'soda/soft drink']"
91,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'sate', 'gorengan lain', 'cendol', 'teh']"
92,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'seblak', 'gorengan lain', 'es campur', 'es doger', 'teh', 'bubble tea', 'soda/soft drink', 'jus buah']"
93,"['mie-miean', 'bakso/batagor/siomay', 'kebab', 'cendol', 'teh']"
94,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'gorengan lain', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
95,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'es krim', 'jagung', 'kacang', 'ubi', 'tahu', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
96,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'es campur', 'bubble tea', 'susu']"
97,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'sate', 'es campur', 'es doger', 'teh', 'susu', 'jus buah']"
98,"['ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'tahu', 'gorengan lain', 'kopi', 'susu']"
99,"['nasi goreng', 'bubur', 'buah potong/rujak', 'ubi', 'minuman air']"
100,"['nasi goreng', 'kue-kue', 'roti bakar/kukus', 'gorengan lain', 'seblak', 'jus buah']"
101,"['nasi goreng', 'bakso/batagor/siomay', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'bubble tea']"
102,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'es krim', 'ubi', 'tahu', 'sate', 'cendol', 'minuman air']"
103,"['nasi goreng', 'bakso/batagor/siomay', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'tahu', 'sate', 'cendol', 'es campur', 'es doger']"
104,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'kue-kue', 'cendol', 'es campur', 'air kelapa']"
105,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'jagung', 'kacang', 'ubi', 'cendol', 'es campur', 'bubble tea', 'susu', 'jus buah']"
106,"['nasi goreng', 'nasi-nasian', 'bakso/batagor/siomay', 'bubur', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'bubble tea', 'jus buah']"
107,"['nasi-nasian', 'kue-kue', 'tahu', 'cendol', 'es campur', 'es doger', 'teh', 'jus buah']"
108,"['nasi goreng', 'bakso/batagor/siomay', 'sate', 'gorengan lain', 'es campur', 'teh', 'soda/soft drink', 'jus buah']"
109,"['mie-miean', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'tahu', 'sate', 'cendol', 'kopi', 'bubble tea']"
110,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'es krim', 'sate', 'gorengan lain', 'teh', 'soda/soft drink', 'jus buah']"
111,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'es krim', 'tahu', 'sate', 'gorengan lain', 'seblak', 'teh', 'bubble tea', 'soda/soft drink', 'kopi']"
112,"['nasi goreng', 'mie-miean', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'es krim', 'cendol', 'es campur', 'teh', 'kopi', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
113,"['mie-miean', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'sate', 'gorengan lain', 'teh', 'kopi', 'bubble tea']"
114,"['bakso/batagor/siomay', 'bubur', 'kue-kue', 'sate', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'kopi', 'bubble tea', 'jus buah']"
115,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'sate', 'kopi', 'jus buah']"
116,"['nasi goreng', 'mie kuah', 'mie-miean', 'bakso/batagor/siomay', 'gorengan lain', 'cendol', 'es campur', 'es doger', 'teh', 'kopi', 'susu']"
117,"['nasi goreng', 'bakso/batagor/siomay', 'sate', 'jus buah']"
118,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'tahu', 'jus buah']"
119,"['bakso/batagor/siomay', 'sate', 'bubble tea']"
120,"['nasi goreng', 'nasi-nasian', 'bakso/batagor/siomay', 'buah potong/rujak', 'roti bakar/kukus', 'sate', 'es campur', 'teh', 'bubble tea', 'jus buah']"
121,"['nasi goreng', 'mie-miean', 'ayam bakar/goreng/fried chicken', 'roti bakar/kukus', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'cendol', 'es campur', 'es doger', 'teh']"
122,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'sate', 'gorengan lain', 'teh', 'kopi', 'air kelapa']"
123,"['bakso/batagor/siomay', 'es campur', 'bubble tea']"
124,"['mie-miean', 'bakso/batagor/siomay', 'kue-kue', 'es krim', 'es doger', 'teh', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
125,"['nasi goreng', 'bakso/batagor/siomay', 'gorengan lain', 'cendol', 'bubble tea', 'jus buah']"
126,"['nasi goreng', 'bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'roti bakar/kukus', 'tahu', 'gorengan lain', 'cendol', 'es campur', 'es doger']"
127,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'buah potong/rujak', 'roti bakar/kukus', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur', 'es doger', 'teh', 'minuman air']"
128,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'roti bakar/kukus', 'sate', 'cendol', 'bubble tea', 'soda/soft drink', 'susu', 'jus buah']"
129,"['mie-miean', 'bakso/batagor/siomay', 'bubur', 'sate', 'soto/sop/makanan berkuah lainnya', 'kopi', 'bubble tea']"
130,"['bakso/batagor/siomay', 'ayam bakar/goreng/fried chicken', 'sate', 'gorengan lain', 'kopi', 'jus buah']"
131,"['nasi goreng', 'mie kuah', 'bakso/batagor/siomay', 'cendol', 'es campur', 'es doger']"
132,"['bakso/batagor/siomay', 'buah potong/rujak', 'gorengan lain', 'jus buah']"
133,"['ayam bakar/goreng/fried chicken', 'buah potong/rujak', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh']"
134,"['nasi goreng', 'bakso/batagor/siomay', 'buah potong/rujak', 'jagung', 'minuman air']"
135,"['nasi goreng', 'bakso/batagor/siomay', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'teh']"
136,"['nasi goreng', 'bakso/batagor/siomay', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'soto/sop/makanan berkuah lainnya', 'bubble tea', 'jus buah']"
137,"['nasi goreng', 'mie kuah', 'nasi-nasian', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'kue-kue', 'buah potong/rujak', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es doger']"
138,"['nasi goreng', 'mie-miean', 'bakso/batagor/siomay', 'bubur', 'jagung', 'sate', 'gorengan lain', 'cendol', 'es doger']"
139,"['bakso/batagor/siomay', 'bubur', 'cendol', 'es campur']"
140,"['nasi goreng', 'bubur', 'soto/sop/makanan berkuah lainnya', 'es campur']"
141,"['nasi goreng', 'nasi-nasian', 'mie-miean', 'bubur', 'ayam bakar/goreng/fried chicken', 'kue-kue', 'buah potong/rujak', 'roti bakar/kukus', 'es krim', 'tahu', 'sate', 'gorengan lain', 'soto/sop/makanan berkuah lainnya', 'es campur', 'teh', 'kopi', 'bubble tea', 'jus buah']"
