No,data,rating
0,sosis,5
0,teh,5
1,nasi goreng,5
1,mie kuah,5
1,nasi-nasian,5
1,mie-miean,5
1,bakso/batagor/siomay,5
1,bubur,5
1,ayam bakar/goreng/fried chicken,5
1,kue-kue,5
1,buah potong/rujak,5
1,roti bakar/kukus,5
1,jagung,5
1,kacang,5
1,tahu,5
1,sate,5
1,gorengan lain,5
1,cendol,5
1,es campur,5
1,bubble tea,5
1,susu,5
1,jus buah,5
2,nasi goreng,5
2,nasi-nasian,5
2,mie-miean,5
2,bakso/batagor/siomay,5
2,bubur,5
2,roti bakar/kukus,5
2,soda/soft drink,5
2,susu,5
3,nasi goreng,5
3,mie-miean,5
3,bakso/batagor/siomay,5
3,bubur,5
3,ayam bakar/goreng/fried chicken,5
3,kue-kue,5
3,roti bakar/kukus,5
3,tahu,5
3,gorengan lain,5
3,cendol,5
3,es campur,5
3,es doger,5
3,teh,5
3,bubble tea,5
3,soda/soft drink,5
3,susu,5
3,jus buah,5
4,nasi goreng,5
4,ayam bakar/goreng/fried chicken,5
4,gorengan lain,5
4,teh,5
4,jus buah,5
5,nasi goreng,5
5,mie kuah,5
5,nasi-nasian,5
5,mie-miean,5
5,bakso/batagor/siomay,5
5,bubur,5
5,ayam bakar/goreng/fried chicken,5
5,sate,5
5,cendol,5
5,teh,5
5,soda/soft drink,5
5,susu,5
6,nasi goreng,5
6,mie kuah,5
6,nasi-nasian,5
6,mie-miean,5
6,bakso/batagor/siomay,5
6,bubur,5
6,ayam bakar/goreng/fried chicken,5
6,kue-kue,5
6,buah potong/rujak,5
6,roti bakar/kukus,5
6,es krim,5
6,jagung,5
6,kacang,5
6,ubi,5
6,tahu,5
6,sate,5
6,gorengan lain,5
6,takoyaki,5
6,cendol,5
6,es campur,5
6,es doger,5
7,nasi goreng,5
7,mie kuah,5
7,nasi-nasian,5
7,mie-miean,5
7,ayam bakar/goreng/fried chicken,5
7,sate,5
7,gorengan lain,5
7,teh,5
7,kopi,5
7,susu,5
7,wedang,5
7,wedang,5
8,nasi goreng,5
8,bakso/batagor/siomay,5
8,sate,5
8,gorengan lain,5
8,martabak,5
8,es doger,5
8,susu,5
9,nasi goreng,5
9,mie-miean,5
9,bubur,5
9,jus buah,5
10,nasi goreng,5
10,ayam bakar/goreng/fried chicken,5
10,sate,5
10,teh,5
11,nasi goreng,5
11,mie kuah,5
11,bakso/batagor/siomay,5
11,bubur,5
11,ayam bakar/goreng/fried chicken,5
11,kue-kue,5
11,buah potong/rujak,5
11,roti bakar/kukus,5
11,es krim,5
11,kacang,5
11,tahu,5
11,sate,5
11,gorengan lain,5
11,es campur,5
11,es doger,5
11,teh,5
11,kopi,5
11,susu,5
11,jus buah,5
12,nasi goreng,5
12,mie kuah,5
12,bakso/batagor/siomay,5
12,kue-kue,5
12,roti bakar/kukus,5
12,sate,5
12,teh,5
12,susu,5
13,nasi goreng,5
13,bakso/batagor/siomay,5
13,roti bakar/kukus,5
13,sate,5
13,teh,5
14,nasi goreng,5
14,bubur,5
14,es krim,5
14,sate,5
14,teh,5
14,susu,5
15,nasi goreng,5
15,bakso/batagor/siomay,5
15,bubur,5
15,gorengan lain,5
15,aci,5
15,aci,5
15,aci,5
15,aci,5
15,bubble tea,5
16,nasi goreng,5
16,nasi-nasian,5
16,mie-miean,5
16,bakso/batagor/siomay,5
16,ayam bakar/goreng/fried chicken,5
16,sate,5
16,gorengan lain,5
16,teh,5
17,nasi goreng,5
17,mie-miean,5
17,bakso/batagor/siomay,5
17,bubur,5
17,es krim,5
17,sate,5
17,gorengan lain,5
17,lotek,5
17,es doger,5
17,jus buah,5
18,nasi goreng,5
18,mie-miean,5
18,sate,5
18,gorengan lain,5
18,cendol,5
19,mie kuah,5
19,nasi-nasian,5
19,mie-miean,5
19,bakso/batagor/siomay,5
19,bubur,5
19,ayam bakar/goreng/fried chicken,5
19,roti bakar/kukus,5
19,sate,5
19,jus buah,5
20,mie kuah,5
20,mie-miean,5
20,bakso/batagor/siomay,5
20,bubur,5
20,es krim,5
20,sate,5
20,bubble tea,5
20,soda/soft drink,5
20,jus buah,5
21,bakso/batagor/siomay,5
21,ayam bakar/goreng/fried chicken,5
21,kue-kue,5
21,roti bakar/kukus,5
21,tahu,5
21,sate,5
21,jus buah,5
22,nasi goreng,5
22,mie kuah,5
22,mie-miean,5
22,bubur,5
22,ayam bakar/goreng/fried chicken,5
22,sate,5
22,bubble tea,5
22,soda/soft drink,5
22,susu,5
22,jus buah,5
23,nasi goreng,5
23,mie kuah,5
23,nasi-nasian,5
23,mie-miean,5
23,bakso/batagor/siomay,5
23,bubur,5
23,ayam bakar/goreng/fried chicken,5
23,kue-kue,5
23,sate,5
23,gorengan lain,5
23,es doger,5
23,teh,5
23,kopi,5
23,bubble tea,5
23,susu,5
23,jus buah,5
24,mie-miean,5
24,bakso/batagor/siomay,5
24,kue-kue,5
24,es krim,5
24,gorengan lain,5
24,bubble tea,5
24,soda/soft drink,5
24,jus buah,5
24,soda/soft drink,5
25,nasi goreng,5
25,mie kuah,5
25,nasi-nasian,5
25,mie-miean,5
25,bakso/batagor/siomay,5
25,bubur,5
25,ayam bakar/goreng/fried chicken,5
25,buah potong/rujak,5
25,roti bakar/kukus,5
25,es krim,5
25,jagung,5
25,kacang,5
25,ubi,5
25,tahu,5
25,sate,5
25,gorengan lain,5
25,cendol,5
25,es campur,5
25,es doger,5
25,teh,5
25,kopi,5
25,bubble tea,5
25,soda/soft drink,5
25,susu,5
25,jus buah,5
26,bubur,5
26,ayam bakar/goreng/fried chicken,5
26,kue-kue,5
26,buah potong/rujak,5
26,es campur,5
26,susu,5
26,jus buah,5
27,mie kuah,5
27,nasi-nasian,5
27,mie-miean,5
27,bakso/batagor/siomay,5
27,ayam bakar/goreng/fried chicken,5
27,kue-kue,5
27,tahu,5
27,sate,5
27,gorengan lain,5
27,teh,5
27,susu,5
28,nasi goreng,5
28,kue-kue,5
28,roti bakar/kukus,5
28,es campur,5
28,susu,5
28,jus buah,5
29,nasi goreng,5
29,bakso/batagor/siomay,5
29,kue-kue,5
29,es krim,5
29,macaroni,5
29,lumpia basah,5
29,seblak,5
29,teh,5
29,soda/soft drink,5
29,jus buah,5
30,nasi-nasian,5
30,mie-miean,5
30,bubur,5
30,ayam bakar/goreng/fried chicken,5
30,teh,5
30,susu,5
31,bakso/batagor/siomay,5
31,buah potong/rujak,5
31,gorengan lain,5
31,soda/soft drink,5
31,jus buah,5
32,nasi goreng,5
32,mie-miean,5
32,bakso/batagor/siomay,5
32,bubur,5
32,ayam bakar/goreng/fried chicken,5
32,kue-kue,5
32,roti bakar/kukus,5
32,sate,5
32,gorengan lain,5
32,cendol,5
32,teh,5
32,jus buah,5
33,nasi goreng,5
33,mie kuah,5
33,bakso/batagor/siomay,5
33,bubur,5
33,kue-kue,5
33,buah potong/rujak,5
33,roti bakar/kukus,5
33,ubi,5
33,tahu,5
33,sate,5
33,gorengan lain,5
