userid,foodanddrinkname,rating
1,nasi goreng,5
1,mie kuah,5
1,nasi,5
1,mie,5
1,bakso,5
1,bubur,5
1,ayam,5
1,kue,5
1,buah,5
1,roti,5
1,jagung,5
1,kacang,5
1,tahu,5
1,sate,5
1,gorengan kering,5
1,es krim,1
1,ubi,1
1,luar negeri,1
1,gorengan basah,1
1,berkuah,1
1,cendol,5
1,es campur,5
1,bubble tea,5
1,susu,5
1,jus buah,5
1,soft drink,1
1,es doger,1
1,teh,1
1,kopi,1
1,air mineral,1
1,air kelapa,1
2,nasi goreng,5
2,mie kuah,1
2,nasi,5
2,mie,5
2,bakso,5
2,bubur,5
2,ayam,1
2,kue,1
2,buah,1
2,roti,5
2,jagung,1
2,kacang,1
2,tahu,1
2,sate,1
2,gorengan kering,1
2,es krim,1
2,ubi,1
2,luar negeri,1
2,gorengan basah,1
2,berkuah,1
2,cendol,1
2,es campur,1
2,bubble tea,1
2,susu,5
2,jus buah,1
2,soft drink,5
2,es doger,1
2,teh,1
2,kopi,1
2,air mineral,1
2,air kelapa,1
3,nasi goreng,5
3,mie kuah,1
3,nasi,1
3,mie,5
3,bakso,5
3,bubur,5
3,ayam,5
3,kue,5
3,buah,1
3,roti,5
3,jagung,1
3,kacang,1
3,tahu,5
3,sate,1
3,gorengan kering,5
3,es krim,1
3,ubi,1
3,luar negeri,1
3,gorengan basah,1
3,berkuah,1
3,cendol,5
3,es campur,5
3,bubble tea,5
3,susu,5
3,jus buah,5
3,soft drink,5
3,es doger,5
3,teh,5
3,kopi,1
3,air mineral,1
3,air kelapa,1
4,nasi goreng,5
4,mie kuah,1
4,nasi,1
4,mie,1
4,bakso,1
4,bubur,1
4,ayam,5
4,kue,1
4,buah,1
4,roti,1
4,jagung,1
4,kacang,1
4,tahu,1
4,sate,1
4,gorengan kering,5
4,es krim,1
4,ubi,1
4,luar negeri,1
4,gorengan basah,1
4,berkuah,1
4,cendol,1
4,es campur,1
4,bubble tea,1
4,susu,1
4,jus buah,5
4,soft drink,1
4,es doger,1
4,teh,5
4,kopi,1
4,air mineral,1
4,air kelapa,1
5,nasi goreng,5
5,mie kuah,5
5,nasi,5
5,mie,5
5,bakso,5
5,bubur,5
5,ayam,5
5,kue,1
5,buah,1
5,roti,1
5,jagung,1
5,kacang,1
5,tahu,1
5,sate,5
5,gorengan kering,1
5,es krim,1
5,ubi,1
5,luar negeri,1
5,gorengan basah,1
5,berkuah,1
5,cendol,5
5,es campur,1
5,bubble tea,1
5,susu,5
5,jus buah,1
5,soft drink,5
5,es doger,1
5,teh,5
5,kopi,1
5,air mineral,1
5,air kelapa,1
6,nasi goreng,5
6,mie kuah,5
6,nasi,5
6,mie,5
6,bakso,5
6,bubur,5
6,ayam,5
6,kue,5
6,buah,5
6,roti,5
6,jagung,5
6,kacang,5
6,tahu,5
6,sate,5
6,gorengan kering,5
6,es krim,5
6,ubi,5
6,luar negeri,5
6,gorengan basah,1
6,berkuah,1
6,cendol,5
6,es campur,5
6,bubble tea,1
6,susu,1
6,jus buah,1
6,soft drink,1
6,es doger,5
6,teh,1
6,kopi,1
6,air mineral,1
6,air kelapa,1
7,nasi goreng,5
7,mie kuah,5
7,nasi,5
7,mie,5
7,bakso,1
7,bubur,1
7,ayam,5
7,kue,1
7,buah,1
7,roti,1
7,jagung,1
7,kacang,1
7,tahu,1
7,sate,5
7,gorengan kering,5
7,es krim,1
7,ubi,1
7,luar negeri,1
7,gorengan basah,1
7,berkuah,1
7,cendol,1
7,es campur,1
7,bubble tea,1
7,susu,5
7,jus buah,1
7,soft drink,1
7,es doger,1
7,teh,5
7,kopi,5
7,air mineral,1
7,air kelapa,1
8,nasi goreng,5
8,mie kuah,1
8,nasi,1
8,mie,1
8,bakso,5
8,bubur,1
8,ayam,1
8,kue,5
8,buah,1
8,roti,1
8,jagung,1
8,kacang,1
8,tahu,1
8,sate,5
8,gorengan kering,5
8,es krim,1
8,ubi,1
8,luar negeri,1
8,gorengan basah,1
8,berkuah,1
8,cendol,1
8,es campur,1
8,bubble tea,1
8,susu,5
8,jus buah,1
8,soft drink,1
8,es doger,5
8,teh,1
8,kopi,1
8,air mineral,1
8,air kelapa,1
11,nasi goreng,5
11,mie kuah,5
11,nasi,1
11,mie,1
11,bakso,5
11,bubur,5
11,ayam,5
11,kue,5
11,buah,5
11,roti,5
11,jagung,1
11,kacang,5
11,tahu,5
11,sate,5
11,gorengan kering,5
11,es krim,5
11,ubi,1
11,luar negeri,1
11,gorengan basah,1
11,berkuah,1
11,cendol,1
11,es campur,5
11,bubble tea,1
11,susu,5
11,jus buah,5
11,soft drink,1
11,es doger,5
11,teh,5
11,kopi,5
11,air mineral,1
11,air kelapa,1
12,nasi goreng,5
12,mie kuah,5
12,nasi,1
12,mie,1
12,bakso,5
12,bubur,1
12,ayam,1
12,kue,5
12,buah,1
12,roti,5
12,jagung,1
12,kacang,1
12,tahu,1
12,sate,5
12,gorengan kering,1
12,es krim,1
12,ubi,1
12,luar negeri,1
12,gorengan basah,1
12,berkuah,1
12,cendol,1
12,es campur,1
12,bubble tea,1
12,susu,5
12,jus buah,1
12,soft drink,1
12,es doger,1
12,teh,5
12,kopi,1
12,air mineral,1
12,air kelapa,1
14,nasi goreng,5
14,mie kuah,1
14,nasi,1
14,mie,1
14,bakso,1
14,bubur,5
14,ayam,1
14,kue,1
14,buah,1
14,roti,1
14,jagung,1
14,kacang,1
14,tahu,1
14,sate,5
14,gorengan kering,1
14,es krim,5
14,ubi,1
14,luar negeri,1
14,gorengan basah,1
14,berkuah,1
14,cendol,1
14,es campur,1
14,bubble tea,1
14,susu,5
14,jus buah,1
14,soft drink,1
14,es doger,1
14,teh,5
14,kopi,1
14,air mineral,1
14,air kelapa,1
17,nasi goreng,5
17,mie kuah,1
17,nasi,1
17,mie,5
17,bakso,5
17,bubur,5
17,ayam,1
17,kue,1
17,buah,1
17,roti,1
17,jagung,1
17,kacang,1
17,tahu,1
17,sate,5
17,gorengan kering,5
17,es krim,5
17,ubi,1
17,luar negeri,1
17,gorengan basah,1
17,berkuah,1
17,cendol,1
17,es campur,1
17,bubble tea,1
17,susu,1
17,jus buah,5
17,soft drink,1
17,es doger,5
17,teh,1
17,kopi,1
17,air mineral,1
17,air kelapa,1
20,nasi goreng,1
20,mie kuah,5
20,nasi,1
