No,data
0,sosis
0,teh
1,nasi goreng
1,mie kuah
1,nasi-nasian
1,mie-miean
1,bakso/batagor/siomay
1,bubur
1,ayam bakar/goreng/fried chicken
1,kue-kue
1,buah potong/rujak
1,roti bakar/kukus
1,jagung
1,kacang
1,tahu
1,sate
1,gorengan lain
1,cendol
1,es campur
1,bubble tea
1,susu
1,jus buah
2,nasi goreng
2,nasi-nasian
2,mie-miean
2,bakso/batagor/siomay
2,bubur
2,roti bakar/kukus
2,soda/soft drink
2,susu
3,nasi goreng
3,mie-miean
3,bakso/batagor/siomay
3,bubur
3,ayam bakar/goreng/fried chicken
3,kue-kue
3,roti bakar/kukus
3,tahu
3,gorengan lain
3,cendol
3,es campur
3,es doger
3,teh
3,bubble tea
3,soda/soft drink
3,susu
3,jus buah
4,nasi goreng
4,ayam bakar/goreng/fried chicken
4,gorengan lain
4,teh
4,jus buah
5,nasi goreng
5,mie kuah
5,nasi-nasian
5,mie-miean
5,bakso/batagor/siomay
5,bubur
5,ayam bakar/goreng/fried chicken
5,sate
5,cendol
5,teh
5,soda/soft drink
5,susu
6,nasi goreng
6,mie kuah
6,nasi-nasian
6,mie-miean
6,bakso/batagor/siomay
6,bubur
6,ayam bakar/goreng/fried chicken
6,kue-kue
6,buah potong/rujak
6,roti bakar/kukus
6,es krim
6,jagung
6,kacang
6,ubi
6,tahu
6,sate
6,gorengan lain
6,takoyaki
6,cendol
6,es campur
6,es doger
7,nasi goreng
7,mie kuah
7,nasi-nasian
7,mie-miean
7,ayam bakar/goreng/fried chicken
7,sate
7,gorengan lain
7,teh
7,kopi
7,susu
7,wedang
7,wedang
8,nasi goreng
8,bakso/batagor/siomay
8,sate
8,gorengan lain
8,martabak
8,es doger
8,susu
9,nasi goreng
9,mie-miean
9,bubur
9,jus buah
10,nasi goreng
10,ayam bakar/goreng/fried chicken
10,sate
10,teh
11,nasi goreng
11,mie kuah
11,bakso/batagor/siomay
11,bubur
11,ayam bakar/goreng/fried chicken
11,kue-kue
11,buah potong/rujak
11,roti bakar/kukus
11,es krim
11,kacang
11,tahu
11,sate
11,gorengan lain
11,es campur
11,es doger
11,teh
11,kopi
11,susu
11,jus buah
12,nasi goreng
12,mie kuah
12,bakso/batagor/siomay
12,kue-kue
12,roti bakar/kukus
12,sate
12,teh
12,susu
13,nasi goreng
13,bakso/batagor/siomay
13,roti bakar/kukus
13,sate
13,teh
14,nasi goreng
14,bubur
14,es krim
14,sate
14,teh
14,susu
15,nasi goreng
15,bakso/batagor/siomay
15,bubur
15,gorengan lain
15,aci
15,aci
15,aci
15,aci
15,bubble tea
16,nasi goreng
16,nasi-nasian
16,mie-miean
16,bakso/batagor/siomay
16,ayam bakar/goreng/fried chicken
16,sate
16,gorengan lain
16,teh
17,nasi goreng
17,mie-miean
17,bakso/batagor/siomay
17,bubur
17,es krim
17,sate
17,gorengan lain
17,lotek
17,es doger
17,jus buah
18,nasi goreng
18,mie-miean
18,sate
18,gorengan lain
18,cendol
19,mie kuah
19,nasi-nasian
19,mie-miean
19,bakso/batagor/siomay
