No,makanan,minuman
1,[0],[0]
2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[1, 2, 3, 4, 5]"
3,"[1, 3, 4, 5, 6, 10]","[6, 4]"
4,"[1, 4, 5, 6, 7, 8, 10, 13, 15]","[1, 2, 7, 0, 3, 6, 4, 5]"
5,"[1, 7, 15]","[0, 5]"
6,"[1, 2, 3, 4, 5, 6, 7, 14]","[1, 0, 6, 4]"
7,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 16, 11, 12, 17, 13, 14, 15, 18]","[1, 2, 7]"
8,"[1, 2, 3, 4, 7, 14, 15]","[0, 8, 4, 9, 9]"
9,"[1, 5, 14, 15, 19]","[7, 4]"
10,"[1, 4, 6]",[5]
11,"[1, 7, 14]",[0]
12,"[1, 2, 5, 6, 7, 8, 9, 10, 16, 12, 13, 14, 15]","[2, 7, 0, 8, 4, 5]"
13,"[1, 2, 5, 8, 10, 14]","[0, 4]"
14,"[1, 5, 10, 14]",[0]
15,"[1, 6, 16, 14]","[0, 4]"
16,"[1, 5, 6, 15, 20, 20, 20, 20]",[3]
17,"[1, 3, 4, 5, 7, 14, 15]",[0]
18,"[1, 4, 5, 6, 16, 14, 15, 21]","[7, 5]"
19,"[1, 4, 14, 15]",[1]
20,"[2, 3, 4, 5, 6, 7, 10, 14]",[5]
21,"[2, 4, 5, 6, 16, 14]","[3, 6, 5]"
22,"[5, 7, 8, 10, 13, 14]",[5]
23,"[1, 2, 4, 6, 7, 14]","[3, 6, 4, 5]"
24,"[1, 2, 3, 4, 5, 6, 7, 8, 14, 15]","[7, 0, 8, 3, 4, 5]"
25,"[4, 5, 8, 16, 15]","[3, 6, 5, 6]"
26,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 16, 11, 12, 17, 13, 14, 15]","[1, 2, 7, 0, 8, 3, 6, 4, 5]"
27,"[6, 7, 8, 9]","[2, 4, 5]"
28,"[2, 3, 4, 5, 7, 8, 13, 14, 15]","[0, 4]"
29,"[1, 8, 10]","[2, 4, 5]"
30,"[1, 5, 8, 16, 22, 23, 24]","[0, 6, 5]"
31,"[3, 4, 6, 7]","[0, 4]"
32,"[5, 9, 15]","[6, 5]"
33,"[1, 4, 5, 6, 7, 8, 10, 14, 15]","[1, 0, 5]"
34,"[1, 2, 5, 6, 8, 9, 10, 17, 13, 14, 15]","[1, 2, 4, 5]"
35,"[1, 4, 5, 6, 7, 8, 9, 16, 11, 14, 15]","[1, 8, 3, 4, 5]"
36,"[1, 5, 6, 7, 8, 10, 17, 14, 15]","[1, 2, 7, 5]"
